course_id,start_time,end_time,day,description
BIOL1011,10:00,12:00,5,lec
CHEM1021,9:00,10:50,3,lec
MEDI1012,14:00,16:00,5,lec
CHEM1022,13:30,16:20,2,lec
NURS1070,13:30,16:20,3,lec
NURS1060,11:00,11:50,2,lec
NURS1060,11:00,11:50,5,lec
NURS1060,13:30,16:20,5,lab
NURS1080,9:00,11:50,6,lec
OLSM3010,11:00,12:15,3,lec
OLSM3010,13:30,14:45,5,lec
HADM2040,11:00,12:15,3,lec
HADM2040,13:30,14:45,5,lec
MATH1020,14:00,15:15,3,lec
PHYS1010,15:30,16:45,3,lec
PHYS1010,15:30,16:45,5,lec
COMP1020,11:00,12:15,2,lec
COMP1020,9:00,10:15,3,lec
COMP1020,14:30,16:30,4,lab
CECS1030,15:00,17:00,5,lec
ENGL0022,9:00,10:50,2,lec
ENGL0022,9:00,10:50,4,lec
ENGL0022,9:00,10:50,6,lec
HASS1070,9:00,10:50,5,lec
HASS1080,9:00,10:50,2,lec
MUSI1010,9:00,10:15,3,lec
CECS1020,11:00,12:50,4,lec
