course_id,start_time,end_time,day,description
BIOL1011,9:00,10:50,4,lab
BIOL1011,13:30,16:20,4,lab
CHEM1021,9:00,10:50,4,lab
CHEM1021,13:30,16:20,4,lab
MATH1020,11:00,13:15,2,lab
MATH1020,11:00,13:15,3,lab
PHYS1010,9:00,10:50,2,lab
PHYS1010,11:00,12:50,3,lab
PHYS1010,9:00,10:50,4,lab
PHYS1010,9:00,10:50,5,lab
PHYS1010,9:00,10:50,6,lab
PHYS1010,11:00,12:50,6,lab
LEAD1020,14:00,17:00,2,lec
LEAD1020,14:00,17:00,4,lec
CECS1030,13:30,16:20,2,lab
CECS1030,13:30,16:20,4,lab
HASS1050,11:00,12:50,3,lec
HASS1050,9:00,10:50,4,lec
HASS1041/42,13:30,16:20,3,lec
HASS1041/42,9:00,10:50,4,lec
HASS1010,13:30,16:20,3,lec
HASS1010,9:00,11:50,4,lec
HASS1030,11:00,12:30,2,lec
HASS1030,9:00,10:30,3,lec
HASS1030,11:00,12:30,6,lec
HASS1020,9:00,10:50,2,lec
HASS1020,9:00,10:50,3,lec
HASS1020,9:00,10:50,6,lec
