course_id,start_time,end_time,day,description
MATH1020,14:00,15:15,3,lec
MATH1020,14:00,15:15,5,lec
MATH1020,11:00,13:15,2,lab
COMP1020,11:00,12:15,2,lec
COMP1020,9:00,10:15,3,lec
COMP1020,14:30,16:30,4,lab
OLSM3010,11:00,12:15,3,lec
OLSM3010,13:30,14:45,5,lec
HADM2040,11:00,12:15,3,lec
HADM2040,13:30,14:45,5,lec
CECS1030,15:00,17:00,5,lec
CECS1030,13:30,16:20,2,lab
BIOL1011,10:00,12:00,5,lec
BIOL1011,9:00,10:50,4,lab
CHEM1021,9:00,10:50,3,lec
CHEM1021,9:00,10:50,4,lab
MEDI1012,14:00,16:00,5,lec
CHEM1022,13:30,16:20,2,lec
NURS1070,13:30,16:20,3,lec
NURS1060,11:00,11:50,2,lec
NURS1060,11:00,11:50,5,lec
NURS1060,13:30,16:20,5,lab
NURS1080,9:00,11:50,6,lec
PHYS1010,15:30,16:45,3,lec
PHYS1010,15:30,16:45,5,lec
PHYS1010,9:00,10:50,2,lab
LEAD1020,14:00,17:00,2,lec
HASS1050,11:00,12:50,3,lec
HASS1041/42,13:30,16:20,3,lec
HASS1010,13:30,16:20,3,lec
HASS1030,11:00,12:30,2,lec
HASS1020,9:00,10:50,2,lec
ENGL0022,9:00,10:50,2,lec
ENGL0022,9:00,10:50,4,lec
ENGL0022,9:00,10:50,6,lec
ENGL1020,9:00,10:15,2,lec
ENGL1020,9:00,10:15,5,lec
HASS1070,9:00,10:50,5,lec
HASS1080,9:00,10:50,2,lec
MUSI1010,9:00,10:15,3,lec
CECS1020,11:00,12:50,4,lec
